id,title,price,rate,category_id
478,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,37
479,Chasing Heaven: What Dying Taught Me About Living,37.8,2,37
480,If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,1,37
481,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,2,37
482,A New Earth: Awakening to Your Life's Purpose,55.65,5,37
483,Logan Kade (Fallen Crest High #5.5),13.12,2,38
484,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,39
485,How to Be Miserable: 40 Strategies You Already Use,46.03,1,39
486,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,39
487,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,3,39
488,How to Stop Worrying and Start Living,46.49,5,39
489,All the Light We Cannot See,29.87,5,40
490,The Girl You Left Behind (The Girl You Left Behind #1),15.79,1,40
491,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,41
492,Crazy Love: Overwhelmed by a Relentless God,47.72,2,41
493,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,1,41
494,Silence in the Dark (Logan Point #4),58.33,3,42
495,The Grownup,35.88,1,43
496,Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,5,44
497,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,45
498,"Eat Fat, Get Thin",54.07,2,45
499,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,5,45
500,The Art and Science of Low Carbohydrate Living,52.98,5,45
501,Libertarianism for Beginners,51.33,2,46
502,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,46
503,Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,46
504,Amid the Chaos,36.58,1,47
505,Dark Notes,19.19,5,48
506,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,49
