Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Precipitation in millimeters,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival
Order_No_8998,User_Id_1250,Bike,1,Personal,31,2,4:39:58 PM,31,2,4:40:53 PM,31,2,5:00:02 PM,31,2,5:23:03 PM,31,2,6:01:40 PM,12,19.8,,-1.2620741,36.8158147,-1.3014461,36.7661381,Rider_Id_882,2317
Order_No_18493,User_Id_3674,Bike,3,Business,4,2,2:27:21 PM,4,2,2:31:59 PM,4,2,2:32:04 PM,4,2,3:27:07 PM,4,2,3:27:22 PM,7,22.5,,-1.2551895,36.7822034,-1.2867809,36.8218665,Rider_Id_855,15
Order_No_18582,User_Id_2523,Bike,3,Business,8,3,10:05:55 AM,8,3,10:07:01 AM,8,3,10:16:15 AM,8,3,10:18:04 AM,8,3,10:49:48 AM,15,17.5,,-1.2551895,36.7822034,-1.2186730,36.8888713,Rider_Id_415,1904
Order_No_20754,User_Id_2344,Bike,3,Business,31,4,11:46:15 AM,31,4,11:46:44 AM,31,4,12:01:59 PM,31,4,12:03:25 PM,31,4,12:17:21 PM,8,26.3,,-1.2551895,36.7822034,-1.2985749,36.8088,Rider_Id_862,836
Order_No_3065,User_Id_3283,Bike,3,Business,21,3,9:04:53 AM,21,3,9:05:13 AM,21,3,9:42:10 AM,21,3,10:25:06 AM,21,3,10:50:03 AM,14,17.1,1,-1.2289110,36.881876,-1.2628473,36.781805,Rider_Id_237,1497
Order_No_12838,User_Id_186,Bike,3,Business,8,5,9:00:05 AM,8,5,9:01:33 AM,8,5,9:16:49 AM,8,5,9:30:37 AM,8,5,9:44:32 AM,7,22.8,,-1.2825816,36.8092346,-1.2571472,36.7950633,Rider_Id_259,835
Order_No_17485,User_Id_296,Bike,3,Business,28,4,9:22:54 AM,28,4,9:23:29 AM,28,4,9:30:03 AM,28,4,9:43:07 AM,28,4,10:02:04 AM,5,19.4,,-1.2571472,36.7950633,-1.2793950,36.825364,Rider_Id_24,1137
Order_No_15580,User_Id_2091,Bike,1,Personal,23,6,1:59:39 PM,23,6,2:00:10 PM,23,6,2:13:56 PM,23,6,2:22:11 PM,23,6,3:01:30 PM,14,,,-1.2731645,36.7902246,-1.3371926,36.7250933,Rider_Id_858,2359
Order_No_1249,User_Id_1162,Bike,2,Business,28,5,8:49:19 AM,28,5,8:50:35 AM,28,5,9:07:33 AM,28,5,9:14:44 AM,28,5,9:26:09 AM,4,20.8,,-1.3122610,36.794658,-1.2883346,36.8148489,Rider_Id_208,685
Order_No_17699,User_Id_3283,Bike,3,Business,10,1,10:40:59 AM,10,1,11:19:30 AM,10,1,11:33:00 AM,10,1,12:18:36 PM,10,1,12:22:53 PM,7,18.6,,-1.3035960,36.778378,-1.2628473,36.781805,Rider_Id_864,257
Order_No_1565,User_Id_2801,Bike,3,Business,30,5,10:40:09 AM,30,5,10:42:23 AM,30,5,10:52:35 AM,30,5,10:57:14 AM,30,5,11:20:00 AM,11,23.6,,-1.2595422,36.7871178,-1.3077260,36.839117,Rider_Id_623,1366
Order_No_14686,User_Id_372,Bike,1,Business,6,3,10:59:21 AM,6,3,11:49:23 AM,6,3,12:07:29 PM,6,3,12:11:53 PM,6,3,12:45:16 PM,8,19.8,,-1.2765736,36.8513646,-1.3244620,36.867212,Rider_Id_616,2003
Order_No_20274,User_Id_393,Bike,3,Business,1,4,10:12:52 AM,1,4,10:13:43 AM,1,4,10:13:51 AM,1,4,10:22:50 AM,1,4,10:35:45 AM,8,,,-1.3177547,36.8303703,-1.2770708,36.8231093,Rider_Id_128,775
Order_No_889,User_Id_2984,Bike,1,Personal,13,3,8:49:21 AM,13,3,8:55:16 AM,13,3,9:26:34 AM,13,3,9:35:23 AM,13,3,9:52:10 AM,6,16.1,,-1.2623805,36.7805404,-1.2772403,36.8196193,Rider_Id_752,1007
Order_No_1764,User_Id_867,Bike,3,Business,10,3,2:33:36 PM,10,3,2:33:51 PM,10,3,2:33:55 PM,10,3,2:38:40 PM,10,3,3:23:54 PM,16,30.4,,-1.2991441,36.7528804,-1.2996533,36.8292629,Rider_Id_394,2714
Order_No_630,User_Id_2150,Bike,3,Business,29,5,9:27:25 AM,29,5,9:37:13 AM,29,5,9:54:59 AM,29,5,10:03:48 AM,29,5,10:23:45 AM,12,20.8,,-1.3316190,36.847976,-1.3444460,36.756597,Rider_Id_459,1197
Order_No_3296,User_Id_868,Bike,3,Business,18,4,10:54:59 AM,18,4,10:55:14 AM,18,4,10:55:20 AM,18,4,11:01:01 AM,18,4,11:14:11 AM,9,,,-1.2296618,36.8438272,-1.2657150,36.823815,Rider_Id_7,790
Order_No_3412,User_Id_123,Bike,3,Business,29,1,11:50:23 AM,29,1,11:50:37 AM,29,1,12:18:33 PM,29,1,12:33:03 PM,29,1,1:11:41 PM,12,,,-1.2404912,36.8847788,-1.2731645,36.7900343,Rider_Id_612,2318
Order_No_17342,User_Id_868,Bike,3,Business,15,3,12:55:07 PM,15,3,12:56:28 PM,15,3,1:02:40 PM,15,3,1:12:03 PM,15,3,1:40:11 PM,8,,,-1.3035960,36.778378,-1.2657150,36.823815,Rider_Id_675,1688
Order_No_4672,User_Id_2801,Bike,3,Business,7,5,3:40:20 PM,7,5,3:46:37 PM,7,5,4:23:08 PM,7,5,4:26:18 PM,7,5,4:51:37 PM,9,24.7,,-1.2595422,36.7871178,-1.2976940,36.749788,Rider_Id_517,1519
Order_No_6274,User_Id_635,Bike,3,Business,7,2,11:02:00 AM,7,2,11:02:25 AM,7,2,11:16:46 AM,7,2,11:46:07 AM,7,2,12:10:26 PM,8,23.3,,-1.3016417,36.8271679,-1.2599563,36.7993439,Rider_Id_519,1459
Order_No_18382,User_Id_3686,Bike,3,Business,12,2,10:55:45 AM,12,2,10:56:45 AM,12,2,10:56:54 AM,12,2,11:05:03 AM,12,2,11:28:16 AM,9,28.1,,-1.2551895,36.7822034,-1.3090727,36.8315262,Rider_Id_518,1393
Order_No_12191,User_Id_53,Bike,3,Business,1,5,2:32:47 PM,1,5,2:37:55 PM,1,5,3:01:12 PM,1,5,3:07:27 PM,1,5,3:44:41 PM,5,32.1,,-1.3004062,36.829741,-1.2770708,36.8231093,Rider_Id_17,2234
Order_No_18598,User_Id_2415,Bike,1,Personal,23,6,8:54:24 AM,23,6,8:59:07 AM,23,6,9:08:45 AM,23,6,9:10:29 AM,23,6,9:26:55 AM,9,,,-1.2864025,36.8175763,-1.3272104,36.8528418,Rider_Id_752,986
Order_No_8417,User_Id_2174,Bike,3,Business,12,5,9:45:13 AM,12,5,9:45:18 AM,12,5,9:53:20 AM,12,5,9:59:39 AM,12,5,10:34:12 AM,21,18.6,,-1.2482781,36.884092,-1.1456993,36.9499598,Rider_Id_12,2073
Order_No_5149,User_Id_2982,Bike,3,Business,27,3,10:16:53 AM,27,3,10:16:59 AM,27,3,10:17:40 AM,27,3,10:57:45 AM,27,3,11:17:16 AM,10,,,-1.3009210,36.828195,-1.2797184,36.7811448,Rider_Id_771,1171
Order_No_2509,User_Id_3403,Bike,3,Business,6,3,9:39:56 AM,6,3,9:41:40 AM,6,3,9:47:19 AM,6,3,9:51:52 AM,6,3,10:11:21 AM,8,16.2,14,-1.2553615,36.7895376,-1.2866816,36.7871863,Rider_Id_727,1169
Order_No_11545,User_Id_2229,Bike,3,Business,14,5,1:26:01 PM,14,5,1:26:29 PM,14,5,1:29:54 PM,14,5,1:37:09 PM,14,5,2:08:28 PM,20,22.8,,-1.3247683,36.85803,-1.2355327,36.8822975,Rider_Id_364,1879
Order_No_2291,User_Id_1245,Bike,3,Business,15,3,2:05:06 PM,15,3,2:06:02 PM,15,3,2:18:24 PM,15,3,2:46:43 PM,15,3,3:14:04 PM,17,26,,-1.3009210,36.828195,-1.3198615,36.7110323,Rider_Id_211,1641
Order_No_18881,User_Id_1246,Bike,3,Business,14,3,10:39:02 AM,14,3,10:39:18 AM,14,3,10:46:08 AM,14,3,10:50:33 AM,14,3,11:05:28 AM,2,24.5,,-1.2571472,36.7950633,-1.2682478,36.8072852,Rider_Id_566,895
Order_No_1242,User_Id_393,Bike,3,Business,8,5,12:09:54 PM,8,5,12:10:35 PM,8,5,12:19:29 PM,8,5,12:29:29 PM,8,5,12:29:32 PM,4,24.3,,-1.3167113,36.8301563,-1.3004062,36.829741,Rider_Id_903,3
Order_No_7903,User_Id_2074,Bike,2,Personal,13,5,9:57:14 AM,13,5,10:00:34 AM,13,5,10:09:34 AM,13,5,10:12:01 AM,13,5,10:29:52 AM,5,15.4,,-1.2741728,36.7969108,-1.2949474,36.8270407,Rider_Id_722,1071
Order_No_2041,User_Id_963,Bike,2,Personal,11,1,12:26:11 PM,11,1,12:28:58 PM,11,1,12:39:19 PM,11,1,12:46:16 PM,11,1,1:09:36 PM,9,18.2,,-1.2874127,36.8247663,-1.3332749,36.8708147,Rider_Id_820,1400
Order_No_895,User_Id_2271,Bike,3,Business,31,4,5:04:38 PM,31,4,5:05:37 PM,31,4,5:42:23 PM,31,4,5:57:06 PM,31,4,6:32:19 PM,15,27.3,,-1.2296618,36.8438272,-1.2935150,36.897607,Rider_Id_775,2113
Order_No_10314,User_Id_2931,Bike,3,Business,1,5,2:58:22 PM,1,5,3:02:28 PM,1,5,3:31:08 PM,1,5,3:50:13 PM,1,5,4:33:10 PM,29,28.5,,-1.3433181,36.9138018,-1.3169591,36.7000029,Rider_Id_548,2577
Order_No_26870,User_Id_914,Bike,3,Business,22,5,11:39:22 AM,22,5,11:43:30 AM,22,5,12:06:13 PM,22,5,12:11:18 PM,22,5,12:11:56 PM,6,,,-1.2670213,36.7994482,-1.2989287,36.8163082,Rider_Id_19,38
Order_No_10555,User_Id_2154,Bike,3,Business,4,4,2:59:36 PM,4,4,3:00:11 PM,4,4,3:16:28 PM,4,4,3:31:59 PM,4,4,4:03:32 PM,20,27.1,,-1.3705766,36.9120742,-1.2765736,36.8513646,Rider_Id_877,1893
Order_No_3266,User_Id_1249,Bike,3,Business,15,5,4:32:37 PM,15,5,4:45:31 PM,15,5,5:10:05 PM,15,5,5:13:01 PM,15,5,5:52:52 PM,18,27.8,,-1.3189252,36.8617269,-1.3516579,36.7298363,Rider_Id_856,2391
Order_No_19884,User_Id_665,Bike,1,Business,5,5,1:15:39 PM,5,5,1:17:32 PM,5,5,1:39:26 PM,5,5,1:49:06 PM,5,5,2:26:54 PM,18,26.6,,-1.2859912,36.8756811,-1.2797670,36.7695313,Rider_Id_900,2268
Order_No_10579,User_Id_3521,Bike,3,Business,29,5,1:32:06 PM,29,5,1:34:04 PM,29,5,2:00:23 PM,29,5,2:06:04 PM,29,5,2:12:53 PM,1,29.1,,-1.2723298,36.8037146,-1.2696908,36.81519,Rider_Id_547,409
Order_No_26138,User_Id_444,Bike,2,Business,27,5,1:52:48 PM,27,5,1:52:58 PM,27,5,2:20:37 PM,27,5,2:22:33 PM,27,5,2:55:45 PM,6,24.1,,-1.2763548,36.8218713,-1.2672426,36.7884223,Rider_Id_229,1992
Order_No_16723,User_Id_2200,Bike,3,Business,10,1,3:02:10 PM,10,1,3:13:43 PM,10,1,3:36:36 PM,10,1,3:50:49 PM,10,1,4:46:01 PM,10,,,-1.2908940,36.822971,-1.2413316,36.8785525,Rider_Id_537,3312
Order_No_15740,User_Id_1961,Bike,3,Business,30,4,11:41:50 AM,30,4,11:47:13 AM,30,4,11:51:53 AM,30,4,12:08:22 PM,30,4,12:42:58 PM,25,,,-1.3393547,36.8910035,-1.3188359,36.7038526,Rider_Id_675,2076
Order_No_26639,User_Id_1880,Bike,3,Business,8,2,12:25:49 PM,8,2,12:26:11 PM,8,2,12:44:26 PM,8,2,12:50:21 PM,8,2,1:04:26 PM,3,23.5,,-1.2571472,36.7950633,-1.2663778,36.8076024,Rider_Id_425,845
Order_No_3715,User_Id_1471,Bike,3,Business,26,1,1:02:59 PM,26,1,1:13:56 PM,26,1,1:16:47 PM,26,1,1:17:56 PM,26,1,2:00:22 PM,10,23.1,,-1.2551895,36.7822034,-1.2967108,36.7871135,Rider_Id_674,2546
Order_No_2427,User_Id_2344,Bike,3,Business,11,1,12:21:34 PM,11,1,12:24:43 PM,11,1,12:25:53 PM,11,1,12:41:26 PM,11,1,1:37:39 PM,23,18.1,,-1.2551895,36.7822034,-1.3447079,36.91105,Rider_Id_379,3373
Order_No_15248,User_Id_928,Bike,3,Business,22,3,3:44:44 PM,22,3,3:45:48 PM,22,3,3:57:00 PM,22,3,4:04:05 PM,22,3,4:22:24 PM,8,24.3,,-1.2551895,36.7822034,-1.2944702,36.8009707,Rider_Id_138,1099
Order_No_26926,User_Id_2271,Bike,3,Business,30,2,1:59:25 PM,30,2,2:03:03 PM,30,2,2:43:21 PM,30,2,2:48:47 PM,30,2,3:34:00 PM,17,,,-1.2935150,36.897607,-1.2600926,36.8088685,Rider_Id_883,2713
Order_No_18157,User_Id_391,Bike,3,Business,3,1,1:43:19 PM,3,1,1:44:24 PM,3,1,2:01:25 PM,3,1,2:03:12 PM,3,1,2:25:18 PM,5,23,,-1.3009210,36.828195,-1.2867454,36.8259017,Rider_Id_158,1326
Order_No_965,User_Id_649,Bike,3,Business,12,2,9:42:43 AM,12,2,9:43:03 AM,12,2,9:48:15 AM,12,2,10:19:18 AM,12,2,11:02:41 AM,22,21,,-1.2551895,36.7822034,-1.3562374,36.9042954,Rider_Id_177,2603
Order_No_15878,User_Id_1976,Bike,3,Business,29,1,11:08:48 AM,29,1,11:09:07 AM,29,1,11:20:01 AM,29,1,11:27:15 AM,29,1,12:04:23 PM,15,,,-1.2570280,36.7810435,-1.3274779,36.7814225,Rider_Id_731,2228
Order_No_8567,User_Id_2,Bike,1,Personal,15,3,9:55:25 AM,15,3,9:56:29 AM,15,3,10:06:17 AM,15,3,10:13:20 AM,15,3,10:42:50 AM,6,16.3,,-1.2804670,36.7859296,-1.2916556,36.8262516,Rider_Id_592,1770
Order_No_26687,User_Id_852,Bike,2,Personal,5,4,12:42:16 PM,5,4,12:47:28 PM,5,4,12:56:02 PM,5,4,1:03:59 PM,5,4,1:26:23 PM,8,,,-1.2980660,36.7767095,-1.2647880,36.7883897,Rider_Id_24,1344
Order_No_14093,User_Id_517,Bike,3,Business,14,6,10:35:58 AM,14,6,10:37:08 AM,14,6,10:43:40 AM,14,6,10:53:24 AM,14,6,10:58:57 AM,7,17.8,,-1.3177547,36.8303703,-1.3012842,36.8561033,Rider_Id_687,333
Order_No_501,User_Id_357,Bike,3,Business,26,5,3:28:38 PM,26,5,3:38:27 PM,26,5,3:48:41 PM,26,5,3:53:37 PM,26,5,4:08:32 PM,3,,,-1.2945179,36.7685349,-1.2955334,36.7742857,Rider_Id_770,895
Order_No_15770,User_Id_3627,Bike,1,Personal,30,1,2:22:12 PM,30,1,2:24:09 PM,30,1,3:54:50 PM,30,1,4:08:04 PM,30,1,4:38:59 PM,6,20.5,,-1.2395181,36.765513,-1.2655332,36.8094648,Rider_Id_519,1855
Order_No_23194,User_Id_3300,Bike,3,Business,2,4,9:50:23 AM,2,4,9:51:17 AM,2,4,10:03:07 AM,2,4,10:07:38 AM,2,4,10:34:50 AM,16,,,-1.2296618,36.8438272,-1.3035960,36.778378,Rider_Id_8,1632
Order_No_9097,User_Id_2102,Bike,3,Business,11,5,3:03:47 PM,11,5,3:03:55 PM,11,5,3:13:58 PM,11,5,3:17:20 PM,11,5,3:43:36 PM,15,26.4,,-1.3323107,36.8692616,-1.2613768,36.8019418,Rider_Id_622,1576
Order_No_20646,User_Id_3091,Bike,3,Business,9,2,4:50:01 PM,9,2,4:50:33 PM,9,2,4:57:42 PM,9,2,5:08:29 PM,9,2,5:33:57 PM,6,27.9,,-1.2584143,36.8048002,-1.2908940,36.822971,Rider_Id_394,1528
Order_No_7990,User_Id_2159,Bike,3,Business,14,2,3:05:24 PM,14,2,3:05:37 PM,14,2,3:09:25 PM,14,2,3:40:44 PM,14,2,4:00:35 PM,12,24.1,,-1.3354923,36.8598156,-1.3047350,36.7846054,Rider_Id_882,1191
Order_No_22116,User_Id_515,Bike,3,Business,2,4,3:18:16 PM,2,4,3:18:52 PM,2,4,3:27:47 PM,2,4,3:33:33 PM,2,4,4:17:33 PM,7,26,,-1.2901131,36.7923153,-1.2574088,36.799712,Rider_Id_100,2640
Order_No_27553,User_Id_3647,Bike,3,Business,16,2,1:55:50 PM,16,2,1:56:29 PM,16,2,2:05:46 PM,16,2,2:09:16 PM,16,2,2:24:41 PM,8,27.4,,-1.2726390,36.794723,-1.2653185,36.8358841,Rider_Id_22,925
Order_No_9806,User_Id_3687,Bike,1,Personal,28,5,8:54:36 AM,28,5,8:54:51 AM,28,5,9:11:08 AM,28,5,9:35:36 AM,28,5,10:27:23 AM,24,20.5,,-1.2075460,36.7913976,-1.3074581,36.7434,Rider_Id_101,3107
Order_No_1010,User_Id_1754,Bike,3,Business,6,2,9:50:17 AM,6,2,9:50:41 AM,6,2,9:54:39 AM,6,2,10:01:39 AM,6,2,10:28:42 AM,13,20,,-1.2283403,36.8822756,-1.2860183,36.8975338,Rider_Id_803,1623
Order_No_23143,User_Id_3698,Bike,3,Business,11,4,3:30:22 PM,11,4,4:22:01 PM,11,4,4:41:47 PM,11,4,4:48:24 PM,11,4,5:13:15 PM,10,26.4,,-1.3107918,36.761794,-1.2863907,36.8194287,Rider_Id_205,1491
Order_No_2119,User_Id_1271,Bike,3,Business,25,5,1:04:54 PM,25,5,1:05:28 PM,25,5,1:19:51 PM,25,5,2:12:22 PM,25,5,2:49:44 PM,11,29,,-1.3107918,36.761794,-1.3039300,36.826136,Rider_Id_540,2242
Order_No_520,User_Id_1341,Bike,3,Business,10,5,1:58:26 PM,10,5,1:59:07 PM,10,5,2:35:38 PM,10,5,2:38:04 PM,10,5,3:08:00 PM,13,,,-1.3035960,36.778378,-1.3316190,36.847976,Rider_Id_907,1796
Order_No_496,User_Id_3738,Bike,3,Business,1,3,5:57:58 PM,1,3,5:58:12 PM,1,3,5:59:23 PM,1,3,6:15:00 PM,1,3,6:31:50 PM,7,23.4,,-1.2584143,36.8048002,-1.2857671,36.7875614,Rider_Id_648,1010
Order_No_13420,User_Id_2102,Bike,3,Business,31,5,11:33:40 AM,31,5,11:36:05 AM,31,5,11:39:31 AM,31,5,11:50:57 AM,31,5,12:24:08 PM,11,21.5,,-1.3323107,36.8692616,-1.2969650,36.8065678,Rider_Id_856,1991
Order_No_11643,User_Id_2302,Bike,1,Personal,1,3,4:50:28 PM,1,3,4:51:00 PM,1,3,5:00:58 PM,1,3,5:06:42 PM,1,3,5:17:09 PM,2,23.3,,-1.2913382,36.8018508,-1.2874290,36.786357,Rider_Id_263,627
Order_No_7178,User_Id_2535,Bike,2,Personal,5,3,1:36:48 PM,5,3,1:37:32 PM,5,3,1:59:29 PM,5,3,2:02:10 PM,5,3,2:36:34 PM,5,23.9,,-1.2942210,36.7719395,-1.3095597,36.797295,Rider_Id_88,2064
Order_No_10465,User_Id_795,Bike,3,Personal,5,2,10:57:47 AM,5,2,10:59:50 AM,5,2,11:31:28 AM,5,2,11:36:40 AM,5,2,11:52:56 AM,6,21.3,,-1.3433800,36.711834,-1.3104734,36.7363698,Rider_Id_116,976
Order_No_747,User_Id_635,Bike,3,Business,13,4,3:34:27 PM,13,4,4:21:52 PM,13,4,4:24:35 PM,13,4,4:27:24 PM,13,4,4:44:51 PM,8,26.3,,-1.2599563,36.7993439,-1.2633397,36.7454238,Rider_Id_216,1047
Order_No_5226,User_Id_2154,Bike,3,Business,16,3,4:33:40 PM,16,3,4:34:15 PM,16,3,4:44:38 PM,16,3,4:51:55 PM,16,3,5:11:43 PM,6,23.2,,-1.2793950,36.825364,-1.2765736,36.8513646,Rider_Id_31,1188
Order_No_7607,User_Id_2118,Bike,1,Personal,4,4,7:44:09 PM,4,4,7:44:32 PM,4,4,7:58:25 PM,4,4,8:05:19 PM,4,4,8:18:11 PM,5,,,-1.2952098,36.7825532,-1.2654320,36.795034,Rider_Id_578,772
Order_No_9326,User_Id_3710,Bike,3,Business,5,3,1:48:50 PM,5,3,2:05:45 PM,5,3,2:12:36 PM,5,3,2:16:07 PM,5,3,2:28:46 PM,4,24.8,,-1.2551895,36.7822034,-1.2689924,36.798157,Rider_Id_167,759
Order_No_856,User_Id_1245,Bike,3,Business,27,6,10:12:22 AM,27,6,10:12:43 AM,27,6,10:12:52 AM,27,6,10:36:32 AM,27,6,11:10:29 AM,16,,,-1.2602337,36.7990548,-1.3198615,36.7110323,Rider_Id_61,2037
Order_No_2822,User_Id_346,Bike,3,Business,19,2,1:42:26 PM,19,2,2:03:43 PM,19,2,2:37:40 PM,19,2,2:55:18 PM,19,2,3:31:56 PM,14,30.1,,-1.2232123,36.8932547,-1.2887800,36.8168312,Rider_Id_377,2198
Order_No_10598,User_Id_136,Bike,3,Business,11,5,1:23:20 PM,11,5,1:24:14 PM,11,5,1:28:47 PM,11,5,1:42:20 PM,11,5,2:29:51 PM,18,22.7,,-1.2914795,36.8248973,-1.3326173,36.7146233,Rider_Id_805,2851
Order_No_2502,User_Id_2216,Bike,3,Business,17,5,3:55:20 PM,17,5,3:57:19 PM,17,5,3:58:22 PM,17,5,4:26:22 PM,17,5,4:53:02 PM,8,,,-1.2551895,36.7822034,-1.2824577,36.7967953,Rider_Id_709,1600
Order_No_10648,User_Id_1209,Bike,3,Business,10,5,10:24:28 AM,10,5,10:25:11 AM,10,5,10:25:21 AM,10,5,10:45:03 AM,10,5,11:20:19 AM,9,,,-1.2638185,36.7930057,-1.3004062,36.829741,Rider_Id_79,2116
Order_No_28054,User_Id_2700,Bike,3,Business,22,4,1:30:49 PM,22,4,1:44:16 PM,22,4,1:51:01 PM,22,4,2:38:01 PM,22,4,2:56:05 PM,7,26.5,,-1.3018090,36.75643,-1.2845835,36.8079121,Rider_Id_237,1084
Order_No_1161,User_Id_3517,Bike,3,Business,14,2,3:09:26 PM,14,2,3:16:02 PM,14,2,3:47:25 PM,14,2,4:15:42 PM,14,2,4:38:24 PM,6,,,-1.3009210,36.828195,-1.3015998,36.8764939,Rider_Id_20,1362
Order_No_26590,User_Id_2789,Bike,3,Business,20,3,12:21:47 PM,20,3,12:22:47 PM,20,3,12:29:13 PM,20,3,12:33:36 PM,20,3,1:15:42 PM,7,26.3,,-1.3047350,36.7846054,-1.2668815,36.8017244,Rider_Id_24,2526
Order_No_23736,User_Id_2344,Bike,3,Business,6,2,12:28:46 PM,6,2,12:35:20 PM,6,2,12:36:00 PM,6,2,12:50:07 PM,6,2,1:09:50 PM,10,25.2,,-1.2551895,36.7822034,-1.2999305,36.843617,Rider_Id_38,1183
Order_No_5075,User_Id_3647,Bike,3,Business,10,4,4:15:06 PM,10,4,4:16:02 PM,10,4,4:24:23 PM,10,4,4:25:30 PM,10,4,4:44:57 PM,3,25,,-1.2726390,36.794723,-1.2729843,36.8105717,Rider_Id_569,1167
Order_No_21757,User_Id_778,Bike,3,Business,21,5,8:11:02 AM,21,5,8:16:37 AM,21,5,8:38:34 AM,21,5,8:48:17 AM,21,5,9:07:01 AM,6,19.3,,-1.2771155,36.82668,-1.2535486,36.7933541,Rider_Id_26,1124
Order_No_14974,User_Id_3689,Bike,3,Business,27,1,2:26:45 PM,27,1,2:27:10 PM,27,1,2:46:36 PM,27,1,3:05:24 PM,27,1,3:20:09 PM,6,,,-1.2904016,36.8226303,-1.2527958,36.8003131,Rider_Id_88,885
Order_No_11185,User_Id_1363,Bike,3,Business,8,2,12:09:17 PM,8,2,12:09:52 PM,8,2,12:15:24 PM,8,2,12:39:46 PM,8,2,12:53:08 PM,5,23.2,,-1.3004062,36.829741,-1.3228003,36.8306435,Rider_Id_576,802
Order_No_17211,User_Id_867,Bike,3,Business,26,2,2:02:47 PM,26,2,2:03:09 PM,26,2,2:03:27 PM,26,2,2:14:34 PM,26,2,2:48:13 PM,15,29.8,,-1.2991441,36.7528804,-1.3228003,36.8306435,Rider_Id_154,2019
Order_No_13334,User_Id_1882,Bike,3,Business,19,2,3:53:11 PM,19,2,3:54:22 PM,19,2,3:55:49 PM,19,2,4:04:34 PM,19,2,5:18:02 PM,6,29.3,,-1.2956882,36.7861845,-1.2591019,36.800577,Rider_Id_436,4408
Order_No_2470,User_Id_3291,Bike,3,Business,22,4,10:52:36 AM,22,4,10:53:19 AM,22,4,10:57:12 AM,22,4,10:58:26 AM,22,4,11:04:59 AM,2,22.7,,-1.2673935,36.8030328,-1.2600926,36.8088685,Rider_Id_727,393
Order_No_27626,User_Id_1500,Bike,3,Business,28,5,3:58:26 PM,28,5,3:58:31 PM,28,5,4:00:18 PM,28,5,4:04:55 PM,28,5,4:18:30 PM,13,25.6,,-1.2574219,36.7927073,-1.3228003,36.8306435,Rider_Id_619,815
Order_No_18099,User_Id_2330,Bike,3,Business,5,2,4:24:04 PM,5,2,4:53:03 PM,5,2,5:05:00 PM,5,2,5:08:29 PM,5,2,5:38:44 PM,8,24.8,,-1.3015197,36.7658456,-1.2930820,36.8278578,Rider_Id_75,1815
Order_No_12713,User_Id_592,Bike,1,Personal,18,3,2:10:34 PM,18,3,2:10:57 PM,18,3,2:17:43 PM,18,3,2:25:10 PM,18,3,2:52:43 PM,14,20.6,,-1.2884354,36.7606766,-1.3239488,36.8316835,Rider_Id_726,1653
Order_No_13856,User_Id_1927,Bike,3,Business,6,1,3:44:46 PM,6,1,3:45:06 PM,6,1,3:48:24 PM,6,1,4:06:27 PM,6,1,4:32:56 PM,19,,,-1.3562374,36.9042954,-1.3472066,36.7692638,Rider_Id_484,1589
Order_No_5547,User_Id_2181,Bike,2,Personal,30,1,8:32:18 AM,30,1,10:01:20 AM,30,1,10:18:28 AM,30,1,10:22:32 AM,30,1,10:37:49 AM,8,16.5,1.9,-1.2665974,36.7921181,-1.2932780,36.827789,Rider_Id_648,917
Order_No_4441,User_Id_1590,Bike,2,Personal,21,5,3:11:56 PM,21,5,3:12:41 PM,21,5,3:13:00 PM,21,5,3:20:31 PM,21,5,3:28:42 PM,3,27.3,,-1.2854453,36.8188363,-1.2861874,36.8128448,Rider_Id_320,491
Order_No_23849,User_Id_432,Bike,3,Business,13,1,1:19:39 PM,13,1,1:23:09 PM,13,1,1:39:38 PM,13,1,1:54:29 PM,13,1,2:29:56 PM,9,,,-1.2793950,36.825364,-1.3012008,36.764868,Rider_Id_155,2127
Order_No_1694,User_Id_1831,Bike,3,Business,15,5,5:03:36 PM,15,5,5:08:35 PM,15,5,5:12:17 PM,15,5,5:22:00 PM,15,5,6:18:19 PM,17,27.7,,-1.2794480,36.823568,-1.3632162,36.9108253,Rider_Id_953,3379
Order_No_24118,User_Id_1271,Bike,3,Business,8,1,12:33:45 PM,8,1,12:37:28 PM,8,1,12:48:03 PM,8,1,1:03:36 PM,8,1,1:47:50 PM,28,24.7,,-1.3244885,36.897792,-1.3921859,36.740959,Rider_Id_86,2654
Order_No_14732,User_Id_1500,Bike,3,Business,25,4,3:26:28 PM,25,4,4:24:23 PM,25,4,4:48:16 PM,25,4,4:50:09 PM,25,4,5:23:42 PM,9,,,-1.2574219,36.7927073,-1.3004062,36.829741,Rider_Id_219,2013
