Date ordered,Order number,Brand,Size,Color,Design,Price,Delivery status
2017-05-21,SDH-YU381,BLOT,S,indigo,checked,14.41,shipping
2017-05-22,SDH-YU382,Kent,XS,green,checked,15.2,damaged
2017-05-23,SDH-YU383,Kent,L,green,Stripes,15.53,delayed
2017-05-24,SDH-YU384,Yolo,L,black,plain,14.95,order received
2017-05-25,SDH-YU385,Yolo,S,green,spiral,14.3,damaged
2017-05-26,SDH-YU386,BUCK,XL,purple,diamond,14.08,delayed
2017-05-27,SDH-YU387,Kent,XXL,white,checked,16.23,delayed
2017-05-28,SDH-YU388,Kent,XL,black,checked,14.4,damaged
2017-05-29,SDH-YU389,Wang,L,purple,diamond,14.57,order received
2017-05-30,SDH-YU390,Yolo,M,green,diamond,14.17,order received
2017-05-31,SDH-YU391,Wang,XS,red,checked,14.96,shipping
2017-06-01,SDH-YU392,Kent,XS,red,diamond,13.04,shipping
2017-06-02,SDH-YU393,Yolo,XS,green,diamond,13.17,shipping
2017-06-03,SDH-YU394,Kent,XS,red,diamond,14.27,shipping
2017-06-04,SDH-YU395,BUCK,XXL,white,diamond,16.84,order received
2017-06-05,SDH-YU396,BUCK,L,green,checked,17.009999999999998,shipping
2017-06-06,SDH-YU397,BLOT,S,red,plain,14.69,order received
2017-06-07,SDH-YU398,BLOT,S,purple,plain,14.6,order received
2017-06-08,SDH-YU399,Wang,XS,black,spiral,14.74,delayed
2017-06-09,SDH-YU400,BLOT,M,indigo,plain,16.08,order received
2017-06-10,SDH-YU401,Yolo,XXL,white,checked,16.03,damaged
2017-06-11,SDH-YU402,Yolo,XXL,white,plain,15.89,damaged
2017-06-12,SDH-YU403,Wang,XL,purple,checked,16.74,damaged
2017-06-13,SDH-YU404,BLOT,XS,purple,checked,15.01,delayed
2017-06-14,SDH-YU405,Wang,XS,green,plain,15.82,delivered
2017-06-15,SDH-YU406,Yolo,M,green,diamond,15.4,order received
2017-06-16,SDH-YU407,BLOT,XXL,white,Stripes,14.36,order received
2017-06-17,SDH-YU408,BUCK,XXL,white,diamond,15.42,delivered
2017-06-18,SDH-YU409,Wang,L,purple,checked,15.27,shipping
2017-06-19,SDH-YU410,Kent,L,green,plain,14.2,damaged
2017-06-20,SDH-YU411,BUCK,XS,white,Stripes,15.3,delayed
2017-06-21,SDH-YU412,BUCK,M,green,spiral,15.38,damaged
2017-06-22,SDH-YU413,Kent,S,green,plain,15.68,shipping
2017-06-23,SDH-YU414,Yolo,XL,indigo,Stripes,13.91,order received
2017-06-24,SDH-YU415,BLOT,XL,red,Stripes,18.03,shipping
2017-06-25,SDH-YU416,BUCK,XS,white,diamond,16.14,order received
2017-06-26,SDH-YU417,Yolo,XXL,indigo,plain,13.8,delivered
2017-06-27,SDH-YU418,Yolo,XS,purple,spiral,14.14,shipping
2017-06-28,SDH-YU419,Wang,XL,green,checked,14.27,damaged
2017-06-29,SDH-YU420,BUCK,XS,white,Stripes,16.14,damaged
2017-06-30,SDH-YU421,BUCK,XS,black,checked,14.63,delayed
2017-07-01,SDH-YU422,Yolo,S,black,checked,17.52,shipping
2017-07-02,SDH-YU423,Yolo,XS,green,diamond,14.48,delivered
2017-07-03,SDH-YU424,Wang,S,red,spiral,15.26,shipping
2017-07-04,SDH-YU425,Kent,M,purple,checked,15.0,delayed
2017-07-05,SDH-YU426,Yolo,S,purple,diamond,17.490000000000002,delivered
2017-07-06,SDH-YU427,Kent,XL,red,Stripes,15.39,damaged
2017-07-07,SDH-YU428,Wang,L,black,plain,14.22,shipping
2017-07-08,SDH-YU429,BUCK,S,indigo,diamond,16.27,delayed
2017-07-09,SDH-YU430,Yolo,S,black,spiral,15.17,order received
2017-07-10,SDH-YU431,Kent,XXL,white,checked,13.78,delivered
2017-07-11,SDH-YU432,Kent,XS,red,spiral,15.41,delayed
2017-07-12,SDH-YU433,BLOT,M,purple,diamond,15.91,delayed
2017-07-13,SDH-YU434,Kent,XS,green,checked,14.3,order received
2017-07-14,SDH-YU435,BUCK,XL,green,diamond,13.53,delivered
2017-07-15,SDH-YU436,BLOT,XL,indigo,diamond,16.64,damaged
2017-07-16,SDH-YU437,Wang,S,white,Stripes,15.35,delivered
2017-07-17,SDH-YU438,Yolo,M,indigo,spiral,14.19,delivered
2017-07-18,SDH-YU439,BLOT,XL,red,diamond,13.31,delayed
2017-07-19,SDH-YU440,Wang,L,indigo,spiral,15.22,delayed
2017-07-20,SDH-YU441,Yolo,XS,green,spiral,14.53,damaged
2017-07-21,SDH-YU442,Wang,XXL,black,spiral,13.48,delayed
2017-07-22,SDH-YU443,Yolo,XXL,indigo,spiral,14.28,delivered
2017-07-23,SDH-YU444,BLOT,L,white,Stripes,13.68,order received
2017-07-24,SDH-YU445,BUCK,XL,white,checked,15.87,shipping
2017-07-25,SDH-YU446,Wang,M,purple,spiral,15.2,delivered
2017-07-26,SDH-YU447,BLOT,L,green,Stripes,14.17,shipping
2017-07-27,SDH-YU448,Wang,XL,red,plain,14.97,delayed
2017-07-28,SDH-YU449,Kent,XXL,purple,Stripes,15.9,delayed
2017-07-29,SDH-YU450,Kent,L,white,checked,14.83,delivered
2017-07-30,SDH-YU451,BUCK,XXL,indigo,checked,14.28,shipping
2017-07-31,SDH-YU452,Wang,S,black,Stripes,14.73,delivered
2017-08-01,SDH-YU453,BLOT,M,green,diamond,16.04,delivered
2017-08-02,SDH-YU454,Kent,L,indigo,spiral,15.01,order received
2017-08-03,SDH-YU455,BUCK,XXL,indigo,plain,14.88,damaged
2017-08-04,SDH-YU456,Yolo,M,white,Stripes,14.94,damaged
2017-08-05,SDH-YU457,BLOT,XXL,purple,Stripes,15.53,delayed
2017-08-06,SDH-YU458,Kent,S,white,Stripes,14.89,damaged
2017-08-07,SDH-YU459,BUCK,L,white,diamond,13.75,order received
2017-08-08,SDH-YU460,BLOT,L,white,plain,16.49,order received
2017-08-09,SDH-YU461,BLOT,XS,white,spiral,14.88,damaged
2017-08-10,SDH-YU462,Kent,XS,indigo,Stripes,17.61,order received
2017-08-11,SDH-YU463,BUCK,XS,indigo,diamond,14.62,delivered
2017-08-12,SDH-YU464,BUCK,XS,white,spiral,17.35,delayed
2017-08-13,SDH-YU465,Kent,L,green,spiral,17.58,order received
2017-08-14,SDH-YU466,BLOT,M,green,checked,16.16,shipping
2017-08-15,SDH-YU467,BLOT,XS,green,checked,15.61,delivered
2017-08-16,SDH-YU468,Yolo,M,black,Stripes,15.43,shipping
2017-08-17,SDH-YU469,BUCK,XS,green,plain,15.04,damaged
2017-08-18,SDH-YU470,BLOT,XL,red,spiral,15.88,delivered
2017-08-19,SDH-YU471,Wang,M,purple,checked,14.64,damaged
2017-08-20,SDH-YU472,Wang,XXL,purple,spiral,16.65,shipping
2017-08-21,SDH-YU473,Yolo,M,white,Stripes,14.99,damaged
2017-08-22,SDH-YU474,BUCK,S,indigo,checked,15.57,shipping
2017-08-23,SDH-YU475,Yolo,XXL,white,diamond,14.79,damaged
2017-08-24,SDH-YU476,Kent,XXL,black,Stripes,15.25,order received
2017-08-25,SDH-YU477,BUCK,L,green,checked,13.19,shipping
2017-08-26,SDH-YU478,Kent,XXL,white,spiral,15.85,order received
2017-08-27,SDH-YU479,BUCK,S,green,diamond,13.91,order received
2017-08-28,SDH-YU480,Wang,XXL,green,spiral,15.16,order received
2017-08-29,SDH-YU481,Yolo,XS,black,checked,14.67,delayed
2017-08-30,SDH-YU482,Wang,S,purple,checked,13.6,shipping
2017-08-31,SDH-YU483,Wang,S,purple,plain,14.52,shipping
2017-09-01,SDH-YU484,Kent,XS,white,checked,14.51,order received
2017-09-02,SDH-YU485,BLOT,M,black,spiral,16.91,shipping
2017-09-03,SDH-YU486,BLOT,XXL,green,spiral,13.94,shipping
2017-09-04,SDH-YU487,Kent,L,red,diamond,16.44,order received
2017-09-05,SDH-YU488,BUCK,XS,black,plain,13.47,damaged
2017-09-06,SDH-YU489,BUCK,M,black,Stripes,13.95,damaged
2017-09-07,SDH-YU490,Wang,XXL,black,Stripes,15.87,order received
2017-09-08,SDH-YU491,Wang,S,red,plain,14.04,delayed
2017-09-09,SDH-YU492,BUCK,XXL,green,diamond,13.98,order received
2017-09-10,SDH-YU493,BUCK,XXL,black,spiral,16.34,damaged
2017-09-11,SDH-YU494,Kent,XS,black,diamond,15.24,damaged
2017-09-12,SDH-YU495,Wang,XS,green,diamond,15.03,damaged
2017-09-13,SDH-YU496,BUCK,M,black,Stripes,14.49,shipping
2017-09-14,SDH-YU497,Kent,XXL,purple,plain,15.61,shipping
2017-09-15,SDH-YU498,Yolo,S,red,plain,13.49,order received
2017-09-16,SDH-YU499,BLOT,S,black,spiral,14.75,shipping
